"id","experience_R","experience_datatable","usage_frequency","usage_context","usage_area","appreciate_most","biggest_challenges","desired_extra_functionality","satisfaction1_performance","satisfaction1_readability","satisfaction1_concise","satisfaction1_nonbreaking","satisfaction1_mindeps","satisfaction1_errors","satisfaction1_docs","importance_performance","importance_readability","importance_concise","importance_nonbreaking","importance_mindeps","importance_errors","importance_docs","satisfaction2_io","satisfaction2_filter","satisfaction2_reshape","satisfaction2_joins","satisfaction2_manip","pipe_helper_usefulness","walrus_alias","contribution_interest","contribution_areas_interest","contribution_areas_previous","contribution_easier","values_et_al","agreements_et_al","gov_docs_rolemodels","anything_else","responses_sharing"
69,"7+ years","2 - 4 years","Every day","Academic research;","Data preparation;","The feeling of efficiency. Compact yet readable (with experience) code.","Rstudio sometimes messes up with chaining by not executing the second call without showing an error. I sometimes find my code convoluted and would love a community where to safely ask questions.","Delete row by reference issue #635. Rstudio indenting chained calls better. When having a data.table in `i`, being able to call a column name in `on` without quoting it just like in `i` and `j`.","Very satisfied","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Important","Very important","Very important","Extremely important","Very important","Extremely important","Very important","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Submitting requests for new features;Spreading the word about data.table;Adding translations;","Spreading the word about data.table;",NA,"efficiency, readability, reproducibility",NA,NA,NA,NA
70,"2 - 4 years","12 - 24 months","Every week","Professionally;","Data preparation;Statistical analysis;","Syntax and speed. Close relation to base R. Minimal dependencies.","Learn syntax","Yes. Please keep the function for using data.table with the pipe DT","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Somewhat important","Very important","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Adding translations;Reporting issues;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
71,"7+ years","7+ years","Every day","Professionally;Academic research;Side projects;","Data preparation;Statistical analysis;As a dependency in my R package(s);In production;","concise, quick, low dependency, stable","no challenges","no specific functionality","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Submitting requests for new features;","I haven't contributed to data.table yet;Reporting issues;Submitting requests for new features;",NA,"keep it great as it is while allowing for improvements",NA,NA,NA,NA
72,"7+ years","7+ years","Every day","Professionally;","Data preparation;As a dependency in my R package(s);In production;","< masked >","< masked >","< masked >","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Very important","Extremely important","Very important","Very important","Very important","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","none","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Submitting requests for new features;Adding translations;Donating financially;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
73,"2 - 4 years","2 - 4 years","Every day","Professionally;Academic research;As a student;","As a dependency in my R package(s);Data preparation;Statistical analysis;","speed. error checking","syntax (I'm used to tidyverse). issues are unresolved",NA,"Very dissatisfied","Somewhat dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Important","Important","Important","Important","Not important at all","Important","Important","Very dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Very dissatisfied","Somewhat dissatisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No",NA,"Spreading the word about data.table;Submitting requests for new features;Reporting issues;",NA,"make it more accessible",NA,NA,NA,NA
74,"7+ years","4 - 7 years","Every day","Side projects;Academic research;","Data preparation;Statistical analysis;As a dependency in my R package(s);In Shiny apps;In production;","speed","find correct solution for advanced usage","better integration with spatial packages for spatio-temporal data manipulation","Somewhat satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Very important","Important","Very important","Extremely important","Important","Important","Extremely important","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","Sorry busy in python project and now cannot use or contribute in R related work","Performance, Conciseness, Consistency, and Integration","Not sure about it. But in a popular R world, more and more people use tidyverse workflows. I like rdatatable workflow more, but it's time to integrate the data.table workflow (and make it more convenient) to various science fileds and applications.","No comments","Let Chatgpt more correctly use rdatatable to give answer^^",NA
75,"7+ years","7+ years","Occasionally","Professionally;","Data preparation;Statistical analysis;","ease","none","none","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Not important at all","Not important at all","Not important at all","Extremely important","Not important at all","Not important at all","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Giving talks/tutorials on data.table;Reviewing R code;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
76,"7+ years","4 - 7 years","Every day","Professionally;Side projects;","Data preparation;In Shiny apps;In production;Machine learning;Statistical analysis;","speed","development of package has stopped",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Very important","Extremely important","Very important","Very important","Important","Very important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Not useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Reporting issues;","Reporting issues;Spreading the word about data.table;","some development plan","speed & regular updates",NA,NA,NA,NA
77,"2 - 4 years","2 - 4 years","Occasionally","Professionally;Teaching;Side projects;","Data preparation;","Speed, functionality","Syntax, Adoption by peers",NA,"Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Extremely important","Important","Very important","Important","Extremely important","Extremely important","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Submitting R code;Reviewing R code;Spreading the word about data.table;Submitting requests for new features;Writing/editing documentation;","I haven't contributed to data.table yet;",NA,"It should aim to be performant, readable, easy to use. Principles of openness and collaboration",NA,NA,NA,NA
78,"7+ years","2 - 4 years","Every day","Professionally;","Data preparation;Statistical analysis;Machine learning;In Shiny apps;","The clear, concise syntax. The speed and ability to work with very large data tables","Understanding uses of some of the special variables e.g. .each .N","Ability to delete rows by reference. Integration with spark so I can use data.table in DataBricks","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Somewhat dissatisfied","Not important at all","Not important at all","Not important at all","Not important at all","Not important at all","Important","Somewhat important","Very dissatisfied","Somewhat dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Not useful to me","I don’t feel like an alias is needed - I wouldn’t use it, so don’t have a preference","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,"My organisation is moving to DataBricks. Unfortunately it seems like I will have to re-write code in dplyr in order for it to make use of the spark engine. I understand an interface package like sparklyr would be nice for keeping the clean, concise code of data.table",NA
79,"2 - 4 years","2 - 4 years","Every week","Professionally;","Data preparation;Statistical analysis;","< masked >","< masked >","< masked >","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Extremely important","Extremely important","Very important","Important","Important","Somewhat important","Somewhat important","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
80,"7+ years","4 - 7 years","Every week","Professionally;Side projects;","Data preparation;As a dependency in my R package(s);In Shiny apps;In production;","< masked >","< masked >","< masked >","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Extremely important","Extremely important","Extremely important","Not important at all","Not important at all","Important","Extremely important",NA,NA,NA,NA,NA,"Somewhat useful to me",NA,"Maybe","Reporting issues;Reviewing R code;Submitting R code;","Reporting issues;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
81,"7+ years","4 - 7 years","Every week","Professionally;Teaching;","Data preparation;As a dependency in my R package(s);In Shiny apps;","Professionalism of Matt. No dependencies.",NA,"DT","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Somewhat important","Somewhat important","Extremely important","Extremely important","Not important at all","Somewhat important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Donating financially;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
82,"7+ years","7+ years","Every week","Professionally;Academic research;Side projects;Teaching;","Data preparation;Statistical analysis;As a dependency in my R package(s);","Speed and efficiency","None","Better interoperability with the targets package, which is sometimes messy when DT edits in place.","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Extremely important","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Submitting requests for new features;","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Submitting requests for new features;",NA,NA,NA,NA,NA,NA
83,"2 - 4 years","2 - 4 years","Every day","Professionally;","Data preparation;In production;","Syntax and Speed",NA,NA,"Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Very important","Important","Very important","Somewhat important","Somewhat important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","all are fine","Maybe","Spreading the word about data.table;Reporting issues;Writing/editing documentation;Donating financially;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
84,"7+ years","2 - 4 years","Every month","Academic research;Side projects;Professionally;","Data preparation;","< masked >","< masked >","< masked >","Very satisfied","Very dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Important","Extremely important","Not important at all","Important","Important","Important","Very important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","Spreading the word about data.table;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
85,"7+ years","7+ years","Every week","Professionally;Side projects;","Data preparation;In Shiny apps;As a dependency in my R package(s);","Speed, concise syntax","Understanding from other users","Maybe excel import","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Somewhat important","Important","Important","Extremely important","Very important","Very important","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No",NA,NA,NA,"Open and less aggressive",NA,NA,NA,NA
86,"7+ years","4 - 7 years","Every week","Academic research;Teaching;","Statistical analysis;Data preparation;","Speed","Remembering differences in syntax to data.frame",NA,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Extremely important","Somewhat important","Important","Important","Important","Important","Important","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","I haven't contributed to data.table yet;","I'm not sure I'm good enough for contributing","Speed and good documentation","Don't know","Don't know",NA,NA
87,"4 - 7 years","4 - 7 years","Occasionally","Professionally;Side projects;","Data preparation;Statistical analysis;","< masked >","< masked >","< masked >","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very important","Very important","Somewhat important","Very important","Important","Extremely important","Extremely important","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","Don't care","No","Spreading the word about data.table;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
88,"7+ years","4 - 7 years","Every day","Academic research;Professionally;","Data preparation;Machine learning;As a dependency in my R package(s);In Shiny apps;","< masked >","< masked >","< masked >","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Extremely important","Very important","Very important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","None not needed","Maybe","Spreading the word about data.table;Reporting issues;Reviewing R code;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
89,"7+ years","7+ years","Every day","Professionally;","Data preparation;In Shiny apps;","Syntax, speed, ease of use","None really","Can't think of things I need that data table doesn't support, other than more natural piping and usage of previously created colum within "":="" (A=1,B=A+1).","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","as(new1 = ..., new2 = ...)","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;","I haven't contributed to data.table yet;",NA,"Same as current",NA,NA,NA,NA
90,"7+ years","4 - 7 years","Every day","Professionally;Academic research;Teaching;","Data preparation;As a dependency in my R package(s);In production;","stability, conciseness, and speed","Some simple operations using other tool chains like nesting and unnesting can require slightly tedious incantations.","I would love to see some integration with Arrow or similar to manage out of memory data though I can understand if this is out of scope. I would also like to see a few new helper/wrapper functions for doing things like nesting etc.","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Extremely important","Important","Extremely important","Extremely important","Extremely important","Very important","Somewhat satisfied","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Submitting requests for new features;Donating financially;Reporting issues;","Spreading the word about data.table;Reporting issues;","A clear community contribution structure and a more frequent minor update schedule that is clearly sign posted","openness","rolling regular minor releases (non-breaking) and regular but less frequent potentially breaking releases",NA,"its a great package. Excited for future development.",NA
91,"7+ years","4 - 7 years","Every week","Professionally;Academic research;","Data preparation;Statistical analysis;",NA,NA,NA,"Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Important","Very important","Very important","Somewhat important","Somewhat important","Very important","Extremely important","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
92,"7+ years","2 - 4 years","Occasionally","Professionally;Academic research;","Data preparation;","Speed","Syntax is often opaque",NA,"Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Extremely important","Extremely important","Somewhat important","Important","Somewhat important","Very important","Very important","Very satisfied",NA,NA,NA,NA,"Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
93,"3 - 12 months","3 - 12 months","Every week","Professionally;","Data preparation;Statistical analysis;In production;","< masked >","< masked >","< masked >","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
94,"7+ years","7+ years","Every day","Professionally;Academic research;","Data preparation;Statistical analysis;Machine learning;In Shiny apps;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I'm not currently interested in contributing to data.table;","Spreading the word about data.table;",NA,NA,NA,NA,"Can we get data.table syntax for python pandas data.frames?",NA
95,"2 - 4 years","12 - 24 months","Occasionally","Academic research;","Data preparation;Statistical analysis;","Concise syntax, speed, no dependencies","I've had issues compiling from source for multithread support in MacOS. Programming with data.table, but the introduction of `substitute2` has improved things.",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Important","Very important","Extremely important","Extremely important","Very important","Important","Very important","Neither satisfied nor dissatisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
96,"4 - 7 years","2 - 4 years","I don't use data.table anymore","Academic research;Side projects;","Data preparation;","Its speed","The synthax","No in-memory data load","Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Extremely important","Important","Extremely important","Very important","Important","Extremely important","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","Not really",NA,NA,NA,NA,NA
97,"2 - 4 years","12 - 24 months","Occasionally","Professionally;Academic research;","Data preparation;Statistical analysis;","< masked >","< masked >","< masked >","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Very satisfied","Very satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Very satisfied","Somewhat useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Submitting requests for new features;","Reporting issues;Spreading the word about data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
98,"7+ years","4 - 7 years","Every day","Professionally;","Data preparation;Machine learning;Statistical analysis;","efficiency, speed, memory footprint, ease of 'by' aggregation","teaching it to others, row wise computations",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Extremely important","Very important","Important","Extremely important","Important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,"prioritize speed and memory efficiency",NA,NA,"thanks so much for all your hard work.  data.table is a life saver!",NA
99,"7+ years","2 - 4 years","Every week","Academic research;Professionally;","Data preparation;Statistical analysis;","Speed","Syntax",NA,"Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",NA,NA,"Neither satisfied nor dissatisfied",NA,"Important","Important","Somewhat important","Somewhat important","Not important at all","Somewhat important","Important","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No",NA,"I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
100,"7+ years","12 - 24 months","Every week","Professionally;Side projects;","Data preparation;As a dependency in my R package(s);","< masked >","< masked >","< masked >","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Extremely important","Very important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
101,"7+ years","2 - 4 years","Every day","Professionally;","Data preparation;In Shiny apps;Statistical analysis;","Fast and function","Syntax sometimes, documentation could still be better, changing data sets by reference can be tricky",NA,"Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat dissatisfied","Very important","Very important","Important","Not important at all","Not important at all","Somewhat important","Very important","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
102,"4 - 7 years","2 - 4 years","Every week","Professionally;","Data preparation;","Speed","Remembering syntax",NA,"Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Very important","Extremely important","Extremely important","Important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","I'm not currently interested in contributing to data.table;Donating financially;","I haven't contributed to data.table yet;",NA,NA,"Include additional documentation for data cleaning/processing tasks",NA,"Love your work",NA
103,"4 - 7 years","4 - 7 years","Every week","Academic research;","Data preparation;Statistical analysis;As a dependency in my R package(s);",NA,NA,NA,"Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Extremely important","Somewhat important","Very important","Important","Important","Very important","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat useful to me",NA,"Maybe",NA,"I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
104,"4 - 7 years","4 - 7 years","Every day","Professionally;Side projects;","Data preparation;In production;Statistical analysis;In Shiny apps;","Speed & syntax",NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Very important","Extremely important","Important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;I'm not currently interested in contributing to data.table;","Spreading the word about data.table;I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
105,"4 - 7 years","4 - 7 years","Every week","Academic research;Developing R Packages;Side projects;","Data preparation;As a dependency in my R package(s);In Shiny apps;","The speed and concise syntax of data.table","More speed improvement on small datasets","A new release so that the feature introduced in PR #2655 can be available; C header file for internal functions; More speed improvement","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Extremely important","Important","Important","Extremely important","Extremely important","Somewhat important","Important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Reviewing R code;Reporting issues;Submitting requests for new features;Adding translations;Submitting R code;","Adding translations;","To be listed in the `Author` field on the CRAN page.","NA","NA","Not really.","Not yet.",NA
106,"7+ years","7+ years","Every day","Professionally;Academic research;","As a dependency in my R package(s);Data preparation;","Speed, concision, and stability.","Slow development pace. Unique syntax is harder to justify in team contexts with multiple languages (esp. those leveraging high performance backends like duckdb and polars).","A large number of existing PRs address convenience features that I would like, e.g. `names(.SD) := ...`, `named lapply`, etc. just off the top of my head. Beyond that, I would love to see support for parquet reads and/or streaming/data.base backends.ckend","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Important","Important","Important","Important","Important","Somewhat important","Important","Somewhat dissatisfied","Very dissatisfied","Somewhat dissatisfied","Very dissatisfied","Very dissatisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Reporting issues;Donating financially;Giving talks/tutorials on data.table;Submitting requests for new features;","Spreading the word about data.table;Giving talks/tutorials on data.table;Submitting requests for new features;","Getting rid of the current PR backlog would be a big step forward. I feel that a number of good PRs have died on the vine without good reason.",NA,NA,NA,"A seemingly minor thing, but I think the Mozilla license was prescient move. Other licenses can create an unnecessary headache in tech and corporate settings, which the (historically academic) R community doesn't appreciate properly IMO.",NA
107,"7+ years","7+ years","Every day","Professionally;","Data preparation;Statistical analysis;In production;Machine learning;","syntax, speed","nothing","no","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","Spreading the word about data.table;",NA,"I only have one principle: either Matt comes back or he alone assigns the new person in charge. everyone else should stay out of it","let Matt decide",NA,NA,NA
